name,industry,subindustry,identified,line,model,written_at
Clix,Influencers,Influencer,true,"Clix, born Cody Conrod, is an American professional esports player and live streamer. He competes in competitive Fortnite tournaments and creates gaming content for the organization XSET.",gemini-3.8-flash,2026-09-10T00:38:21.897Z
Danny Duncan,Influencers,Influencer,true,"Danny Duncan is an American internet personality, comedian, and skateboarder. He produces comedy vlogs and stunt videos on YouTube and founded the apparel brand Virginity Rocks.",gemini-3.8-flash,2026-09-10T00:38:21.898Z
Tommyinnit,Influencers,Influencer,true,"Tommyinnit, born Thomas Simons, is an English YouTuber and live streamer. He creates Minecraft gaming videos, participated in the Dream SMP server, and authored the book TommyInnit Says...Sort of Success.",gemini-3.8-flash,2026-09-10T00:38:21.899Z
Agent 00,Influencers,Influencer,true,"Agent 00, born Din Muktar, is a Canadian live streamer and content creator. He produces NBA 2K gaming videos and fitness content and is a member of the collective Any Means Possible.",gemini-3.8-flash,2026-09-10T00:38:21.900Z
Haliey Welch,Influencers,Influencer,true,Haliey Welch is an American internet personality who gained recognition after appearing in a widely shared street interview. She hosts the podcast Talk Tuah and appears as a guest on entertainment programs.,gemini-3.8-flash,2026-09-10T00:38:21.902Z
Jack Doherty,Influencers,Influencer,true,"Jack Doherty is an American live streamer and YouTuber. He creates prank videos, physical stunt content, and broadcasts real-life events on streaming platforms such as Kick.",gemini-3.8-flash,2026-09-10T00:38:21.902Z
Jasontheween,Influencers,Influencer,true,"Jasontheween, born Jason Nguyen, is an American live streamer and content creator. He produces variety live streams and dating show formats and is a member of the esports organization FaZe Clan.",gemini-3.8-flash,2026-09-10T00:38:21.903Z
2xRakai,Influencers,Influencer,true,"2xRakai, born Quvon Rakai Linder, is an American live streamer and content creator. He broadcasts Just Chatting and in-real-life streams on Twitch and collaborates with content creator Kai Cenat.",gemini-3.8-flash,2026-09-10T00:38:21.904Z
Deshae Frost,Influencers,Influencer,true,"Deshae Frost is an American video creator, stand-up comedian, and actor. He produces comedy sketches and pranks online and held a recurring role on the television series S.W.A.T.",gemini-3.8-flash,2026-09-10T00:38:34.827Z
ExtraEmily,Influencers,Influencer,true,"ExtraEmily is a live streamer and content creator signed with the organization One True King. She broadcasts in-real-life vlogs, challenges, and variety gaming on Twitch.",gemini-3.8-flash,2026-09-10T00:38:34.829Z
Konvy,Influencers,Influencer,true,"Konvy, born Steven Garcia, is a live streamer and digital content creator. He broadcasts gaming sessions, commentary, and real-life vlogs on streaming platforms including Kick and Twitch.",gemini-3.8-flash,2026-09-10T00:38:34.832Z
Peterbot,Influencers,Influencer,true,"Peterbot, born Peter Cata, is an esports competitor who plays Fortnite professionally. He competes in tournament circuits and has won multiple Fortnite Champion Series championships, including the Global Championship.",gemini-3.8-flash,2026-09-10T00:38:34.833Z
Silky,Influencers,Influencer,true,"Silky, born Jerry Woo, is a live streamer and content creator affiliated with FaZe Clan. He streams video games, including Grand Theft Auto V, and broadcasts group collaborations on Twitch.",gemini-3.8-flash,2026-09-10T00:38:34.835Z
Tinx,Influencers,Influencer,true,"Tinx, born Christina Najjar, is a digital creator, podcast host, and author. She produces lifestyle and relationship commentary content and wrote the book The Shift.",gemini-3.8-flash,2026-09-10T00:38:34.837Z
Xandra Pohl,Influencers,Influencer,true,"Xandra Pohl is a disc jockey, model, and digital content creator. She produces lifestyle content on social media and performs DJ sets at music venues and festivals.",gemini-3.8-flash,2026-09-10T00:38:34.838Z
Kanel Joseph,Influencers,Influencer,true,"Kanel Joseph is a video creator and live streamer. He produces public prank videos, street interviews, and challenge content for platforms including YouTube and Twitch.",gemini-3.8-flash,2026-09-10T00:38:34.840Z
Fat Perez,Influencers,Influencer,true,"Fat Perez, born Nick Stubbe, is a golf content creator and member of the Bob Does Sports group. He produces golf challenge videos and matches alongside other creators and professionals.",gemini-3.8-flash,2026-09-10T00:38:34.843Z
RayLiveee,Influencers,Influencer,true,"RayLiveee, also known as Rayasianboy, is a live streamer and digital creator from Taiwan. He broadcasts real-life vlogs, collaborates with American streaming groups, and won a Streamer Award for reality streaming.",gemini-3.8-flash,2026-09-10T00:38:34.844Z
Kendall Jenner,Influencers,Model,true,"Kendall Jenner is a fashion model and television personality. She walks runways for international fashion houses, appears in advertising campaigns, and starred in the reality television series Keeping Up with the Kardashians.",gemini-3.8-flash,2026-09-10T00:38:34.846Z
Paris Hilton,Influencers,Model,true,"Paris Hilton is a businesswoman, media personality, and model. She starred in the reality television series The Simple Life, founded product and fragrance lines, and models for fashion brands.",gemini-3.8-flash,2026-09-10T00:38:34.847Z
Haley Baylee,Influencers,Model,true,"Haley Baylee, born Haley Kalil, is a model and digital creator. She has modeled for the Sports Illustrated Swimsuit Issue and produces comedy and red-carpet interview videos.",gemini-3.8-flash,2026-09-10T00:38:34.849Z
Stephen A. Smith,Media,,true,"Stephen A. Smith is a sports television commentator, radio host, and journalist. He serves as a featured commentator and executive producer on ESPN's First Take and covers the NBA for ESPN.",gemini-3.8-flash,2026-09-10T00:38:34.850Z
Pat McAfee,Media,,true,"Pat McAfee is a sports broadcaster, podcaster, and former NFL punter. He hosts The Pat McAfee Show and serves as a studio analyst on ESPN's College GameDay.",gemini-3.8-flash,2026-09-10T00:38:34.852Z
Shannon Sharpe,Media,,true,"Shannon Sharpe is a sports television commentator, podcaster, and Pro Football Hall of Fame tight end. He co-hosts ESPN's First Take and hosts the interview podcast Club Shay Shay.",gemini-3.8-flash,2026-09-10T00:38:34.854Z
Shams Charania,Media,,true,"Shams Charania is a sports journalist and television reporter. He reports news, player trades, free agency signings, and draft selections covering the NBA for sports media outlets.",gemini-3.8-flash,2026-09-10T00:38:34.855Z
Skip Bayless,Media,,true,"Skip Bayless is a sports columnist, author, and television personality. He worked as a commentator on ESPN's First Take and co-hosted the debate show Skip and Shannon: Undisputed on Fox Sports 1.",gemini-3.8-flash,2026-09-10T00:38:34.856Z
Bill Simmons,Media,,true,"Bill Simmons is a sports podcaster, writer, and media executive. He founded the digital media outlets Grantland and The Ringer and hosts The Bill Simmons Podcast.",gemini-3.8-flash,2026-09-10T00:38:34.857Z
Ernie Johnson,Media,,true,Ernie Johnson is a television sports broadcaster. He serves as the studio host for Inside the NBA on TNT and leads television studio coverage for Major League Baseball and the NCAA Division I men's basketball tournament.,gemini-3.8-flash,2026-09-10T00:38:34.859Z
Joe Buck,Media,,true,Joe Buck is an American television sports commentator who serves as the lead play-by-play announcer for Monday Night Football on ESPN. He previously called World Series and Super Bowl broadcasts on Fox and has won Sports Emmy Awards.,gemini-3.8-flash,2026-09-10T00:38:30.393Z
Jimmy O'Brien,Media,,true,"Jimmy O'Brien, known as Jomboy, is an American sports media personality and founder of Jomboy Media. He produces baseball breakdown videos and hosts sports podcasts covering Major League Baseball.",gemini-3.8-flash,2026-09-10T00:38:30.396Z
Jon Anik,Media,,true,Jon Anik is an American sports commentator who serves as the lead play-by-play announcer for the Ultimate Fighting Championship. He hosts pay-per-view broadcasts and co-hosts mixed martial arts podcasts.,gemini-3.8-flash,2026-09-10T00:38:30.400Z
Quavo,Music,,true,"Quavo is an American rapper, singer, and songwriter who performs as a solo artist and as a member of the hip-hop group Migos. He headlines international music tours and has won an American Music Award.",gemini-3.8-flash,2026-09-10T00:38:30.403Z
Joey Bada$$,Music,,true,"Joey Bada$$ is an American rapper, singer, and actor who co-founded the hip-hop collective Pro Era. He releases studio albums, headlines international tours, and acts in television drama series.",gemini-3.8-flash,2026-09-10T00:38:30.406Z
Big Boogie,Music,,true,Big Boogie is an American rapper signed to the record label Collective Music Group. He releases studio albums and mixtapes and performs on national concert tours.,gemini-3.8-flash,2026-09-10T00:38:30.408Z
Morgan Wallen,Music,Country,true,Morgan Wallen is an American country music singer and songwriter who headlines stadium tours. He has won Country Music Association Awards and Academy of Country Music Awards.,gemini-3.8-flash,2026-09-10T00:38:30.410Z
Luke Combs,Music,Country,true,Luke Combs is an American country music singer and songwriter who headlines international stadium tours. He is a member of the Grand Ole Opry and has won Country Music Association Entertainer of the Year.,gemini-3.8-flash,2026-09-10T00:38:30.412Z
Zach Bryan,Music,Country,true,Zach Bryan is an American singer-songwriter who performs country and roots music on arena and stadium tours. He has won a Grammy Award and an Academy of Country Music Award.,gemini-3.8-flash,2026-09-10T00:38:30.414Z
Chris Stapleton,Music,Country,true,"Chris Stapleton is an American singer-songwriter and musician in country, bluegrass, and rock music. He headlines amphitheater and stadium tours and has won Grammy Awards and Country Music Association Awards.",gemini-3.8-flash,2026-09-10T00:38:30.417Z
Lainey Wilson,Music,Country,true,Lainey Wilson is an American country music singer-songwriter who is a member of the Grand Ole Opry. She headlines arena tours and has won a Grammy Award and Country Music Association Entertainer of the Year.,gemini-3.8-flash,2026-09-10T00:38:30.418Z
Shaboozey,Music,Country,true,Shaboozey is an American musician who blends country and hip-hop music. He performs nationally and contributed featured vocals to Beyoncé's album Cowboy Carter.,gemini-3.8-flash,2026-09-10T00:38:30.420Z
Tyler Childers,Music,Country,true,"Tyler Childers is an American singer and songwriter working in country, bluegrass, and folk music. He headlines arena tours, performs at the Grand Ole Opry, and has received Grammy Award nominations.",gemini-3.8-flash,2026-09-10T00:38:30.422Z
Ella Langley,Music,Country,true,Ella Langley is an American country music singer and songwriter signed to Columbia Records. She tours nationally and has performed on the Grand Ole Opry.,gemini-3.8-flash,2026-09-10T00:38:30.424Z
Koe Wetzel,Music,Country,true,Koe Wetzel is an American singer and songwriter who combines country music with rock. He records for Columbia Records and headlines national arena and amphitheater tours.,gemini-3.8-flash,2026-09-10T00:38:30.427Z
Parker McCollum,Music,Country,true,Parker McCollum is an American country music singer and songwriter signed to MCA Nashville. He headlines arena tours and has won an Academy of Country Music Award.,gemini-3.8-flash,2026-09-10T00:38:30.429Z
Sturgill Simpson,Music,Country,true,Sturgill Simpson is an American country and roots rock singer-songwriter and actor. He headlines music tours and festivals and has won a Grammy Award for Best Country Album.,gemini-3.8-flash,2026-09-10T00:38:30.430Z
Zach Top,Music,Country,true,Zach Top is an American country music singer and songwriter who performs neo-traditional country music. He releases albums through the record label Leo33 and tours nationally.,gemini-3.8-flash,2026-09-10T00:38:30.432Z
Sam Barber,Music,Country,true,Sam Barber is an American country and folk singer-songwriter signed to Atlantic Records. He headlines national and international tours and has performed at the Grand Ole Opry.,gemini-3.8-flash,2026-09-10T00:38:30.434Z
Calvin Harris,Music,DJ,true,"Calvin Harris is a Scottish DJ, record producer, and songwriter who headlines electronic music festivals worldwide. He holds club residencies in Las Vegas and has won a Grammy Award and Brit Awards.",gemini-3.8-flash,2026-09-10T00:38:30.436Z
DJ Khaled,Music,DJ,true,"American disc jockey, record producer, and music executive known for assembling ensemble hip-hop and pop collaborations. He releases major-label studio albums and has won a Grammy Award.",gemini-3.8-flash,2026-09-10T00:38:32.233Z
Marshmello,Music,DJ,true,American electronic dance music producer and disc jockey recognized for performing in a white helmet. He headlines international electronic music festivals and produces collaborations with pop and hip-hop artists.,gemini-3.8-flash,2026-09-10T00:38:32.235Z
Diplo,Music,DJ,true,"American disc jockey and record producer known for founding the project Major Lazer and co-creating Jack Ü and Silk City. He produces electronic, pop, and dancehall music and has won Grammy Awards.",gemini-3.8-flash,2026-09-10T00:38:32.237Z
Dom Dolla,Music,DJ,true,Australian house music producer and disc jockey known for producing tech house music and touring international clubs and festivals. He has received ARIA Music Awards for his dance releases.,gemini-3.8-flash,2026-09-10T00:38:32.239Z
John Summit,Music,DJ,true,American disc jockey and electronic music producer focused on house and techno. He founded the record label Experts Only and headlines electronic dance music festivals and arena shows internationally.,gemini-3.8-flash,2026-09-10T00:38:32.241Z
Noah Kahan,Music,Folk,true,American singer-songwriter known for folk-pop music focused on New England life. He headlines arena and festival tours and received a Grammy Award nomination for Best New Artist.,gemini-3.8-flash,2026-09-10T00:38:32.243Z
Brandon Lake,Music,Folk,true,American Christian worship singer-songwriter who is a member of the Bethel Music and Maverick City Music collectives. He has won Grammy Awards and GMA Dove Awards for his songwriting and vocal performances.,gemini-3.8-flash,2026-09-10T00:38:32.244Z
Lana Del Rey,Music,Indie,true,American singer-songwriter recognized for cinematic pop and indie music incorporating mid-century Americana themes. She headlines music festivals internationally and has earned Grammy Award nominations for her studio albums.,gemini-3.8-flash,2026-09-10T00:38:32.246Z
Gracie Abrams,Music,Indie,true,"American singer-songwriter known for bedroom pop and indie pop music. She has performed on international arena tours as an opening act and headliner, and received a Grammy Award nomination for Best New Artist.",gemini-3.8-flash,2026-09-10T00:38:32.247Z
Tame Impala,Music,Indie,true,"Psychedelic music project created by Australian multi-instrumentalist Kevin Parker, who writes, records, and produces studio albums independently. Parker tours internationally with a live band and has won ARIA Music Awards.",gemini-3.8-flash,2026-09-10T00:38:32.248Z
Clairo,Music,Indie,true,American singer-songwriter and musician known for bedroom pop and indie folk recordings. She releases studio albums on major record labels and headlines international concert tours and festival stages.,gemini-3.8-flash,2026-09-10T00:38:32.249Z
2hollis,Music,Indie,true,"American singer, rapper, and producer known for combining electronic music, hyperpop, and hip-hop. He produces his own music, is signed to Interscope Records, and headlines club and theater concert tours.",gemini-3.8-flash,2026-09-10T00:38:32.250Z
Bad Bunny,Music,Latin,true,Puerto Rican rapper and singer who performs Latin trap and reggaeton. He headlines international stadium tours and has won Grammy Awards and Latin Grammy Awards.,gemini-3.8-flash,2026-09-10T00:38:32.251Z
J Balvin,Music,Latin,true,Colombian singer and songwriter known for reggaeton music. He headlines international concert tours and has won Latin Grammy Awards and Billboard Latin Music Awards.,gemini-3.8-flash,2026-09-10T00:38:32.252Z
Rosalía,Music,Latin,true,Spanish singer-songwriter and producer known for combining flamenco with contemporary pop and urban genres. She headlines international music festivals and has won Grammy Awards and Latin Grammy Awards.,gemini-3.8-flash,2026-09-10T00:38:32.253Z
Peso Pluma,Music,Latin,true,"Mexican singer and songwriter known for corridos tumbados, combining traditional regional Mexican music with urban elements. He headlines arena tours and has won a Grammy Award.",gemini-3.8-flash,2026-09-10T00:38:32.254Z
Taylor Swift,Music,Pop,true,"American singer-songwriter known for narrative songwriting across country, pop, and indie folk styles. She headlines global stadium tours and has won Grammy Awards, including Album of the Year.",gemini-3.8-flash,2026-09-10T00:38:32.255Z
Beyoncé,Music,Pop,true,"American singer, songwriter, and performer known for vocal arrangements and visual albums in R&B, pop, and dance music. She headlines global stadium tours and has won Grammy Awards across multiple genres.",gemini-3.8-flash,2026-09-10T00:38:32.256Z
Rihanna,Music,Pop,true,"Barbadian singer and businesswoman known for recording pop, R&B, and dancehall music. She has headlined international concert tours, performed the Super Bowl halftime show, and won Grammy Awards.",gemini-3.8-flash,2026-09-10T00:38:32.257Z
Justin Bieber,Music,Pop,true,Canadian singer-songwriter known for pop and contemporary R&B music. He headlines global arena and stadium tours and has won Grammy Awards.,gemini-3.8-flash,2026-09-10T00:38:32.258Z
Ariana Grande,Music,Pop,true,"Ariana Grande is an American singer and actress working in pop and contemporary R&B. She headlines international arena tours and has won Grammy Awards, Brit Awards, and Billboard Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.793Z
Lady Gaga,Music,Pop,true,"Lady Gaga is an American singer, songwriter, and actress performing pop and dance music globally. She headlines international stadium tours and has won Grammy Awards, Academy Awards, BAFTA Awards, and Golden Globe Awards.",gemini-3.8-flash,2026-09-10T00:38:36.794Z
Billie Eilish,Music,Pop,true,"Billie Eilish is an American singer and songwriter working in pop and alternative music. She headlines international arena tours and festivals, and has won Grammy Awards and Academy Awards for Best Original Song.",gemini-3.8-flash,2026-09-10T00:38:36.795Z
The Weeknd,Music,Pop,true,"The Weeknd is a Canadian singer, songwriter, and producer working in pop and contemporary R&B. He headlines international stadium tours, performed at the Super Bowl halftime show, and has won Grammy Awards and Juno Awards.",gemini-3.8-flash,2026-09-10T00:38:36.796Z
Adele,Music,Pop,true,"Adele is an English singer and songwriter working in pop and soul music. She performs international arena tours and concert residencies, and has won Grammy Awards, Brit Awards, Academy Awards, and Golden Globe Awards.",gemini-3.8-flash,2026-09-10T00:38:36.797Z
Bruno Mars,Music,Pop,true,"Bruno Mars is an American singer, songwriter, and multi-instrumentalist working in pop, funk, and R&B. He headlines international stadium tours and has won Grammy Awards in categories including Album, Record, and Song of the Year.",gemini-3.8-flash,2026-09-10T00:38:36.798Z
Ed Sheeran,Music,Pop,true,"Ed Sheeran is an English singer-songwriter working in pop and folk-pop music. He headlines international stadium tours and has won Grammy Awards, Brit Awards, and Ivor Novello Awards.",gemini-3.8-flash,2026-09-10T00:38:36.799Z
Dua Lipa,Music,Pop,true,"Dua Lipa is an English and Albanian singer working in pop and disco-pop music. She headlines international arena tours and music festivals, and has won Grammy Awards and Brit Awards.",gemini-3.8-flash,2026-09-10T00:38:36.800Z
Harry Styles,Music,Pop,true,"Harry Styles is an English singer and songwriter performing pop and rock music. Formerly a member of One Direction, he headlines international stadium tours and has won Grammy Awards, including Album of the Year, and Brit Awards.",gemini-3.8-flash,2026-09-10T00:38:36.801Z
Shakira,Music,Pop,true,"Shakira is a Colombian singer and songwriter working in pop and Latin music. She headlines international stadium tours, co-headlined the Super Bowl halftime show, and has won Grammy Awards and Latin Grammy Awards.",gemini-3.8-flash,2026-09-10T00:38:36.802Z
Post Malone,Music,Pop,true,"Post Malone is an American singer, songwriter, and rapper blending pop, hip hop, and country music. He headlines international concert tours and music festivals, and has won Billboard Music Awards and American Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.803Z
Sabrina Carpenter,Music,Pop,true,"Sabrina Carpenter is an American singer, songwriter, and actress working in pop music. She headlines international concert tours, performed as an opening act on stadium tours, and has won MTV Video Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.804Z
Elton John,Music,Pop,true,"Elton John is a British pianist, singer, and songwriter working in pop and rock music. He has headlined international stadium tours, gained induction into the Rock and Roll Hall of Fame, and won Grammy, Academy, and Tony Awards.",gemini-3.8-flash,2026-09-10T00:38:36.805Z
Jennifer Lopez,Music,Pop,true,"Jennifer Lopez is an American singer, dancer, and actress working in pop and Latin music. She headlines international concert tours, co-headlined the Super Bowl halftime show, and received the MTV Video Vanguard Award.",gemini-3.8-flash,2026-09-10T00:38:36.806Z
Katy Perry,Music,Pop,true,"Katy Perry is an American pop singer and songwriter who headlines international arena tours. She headlined the Super Bowl halftime show, served as a television talent judge, and received the MTV Video Vanguard Award.",gemini-3.8-flash,2026-09-10T00:38:36.806Z
Miley Cyrus,Music,Pop,true,"Miley Cyrus is an American singer, songwriter, and actress working in pop and rock music. She headlines international music festivals and concert tours, and has won Grammy Awards, including Record of the Year.",gemini-3.8-flash,2026-09-10T00:38:36.807Z
Olivia Rodrigo,Music,Pop,true,"Olivia Rodrigo is an American singer, songwriter, and actress working in pop and rock music. She headlines international arena tours and has won Grammy Awards, including Best New Artist, and Billboard Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.808Z
Doja Cat,Music,Pop,true,"Doja Cat is an American rapper, singer, and songwriter working in pop and hip hop music. She headlines international arena tours and music festivals, and has won Grammy Awards and Billboard Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.808Z
Jimin,Music,Pop,true,"Jimin is a South Korean singer and dancer working in pop and K-pop, both as a member of BTS and as a solo artist. He releases music internationally and has won MAMA Awards.",gemini-3.8-flash,2026-09-10T00:38:36.809Z
Jungkook,Music,Pop,true,"Jungkook is a South Korean singer working in pop and K-pop, both as a member of BTS and as a solo artist. He performed at the FIFA World Cup opening ceremony and has won MTV Video Music Awards.",gemini-3.8-flash,2026-09-10T00:38:36.809Z
Mariah Carey,Music,Pop,true,"She is an American singer, songwriter, and record producer known for her five-octave vocal range. She has won multiple Grammy Awards and was inducted into the Songwriters Hall of Fame.",gemini-3.8-flash,2026-09-10T00:38:36.571Z
Chappell Roan,Music,Pop,true,She is an American singer and songwriter who released the studio album The Rise and Fall of a Midwest Princess. She has won the MTV Video Music Award for Best New Artist.,gemini-3.8-flash,2026-09-10T00:38:36.573Z
Jennie,Music,Pop,true,"She is a South Korean singer and rapper who debuted as a member of the girl group Blackpink. As a solo artist, she established the label Odd Atelier and starred in the television series The Idol.",gemini-3.8-flash,2026-09-10T00:38:36.574Z
Justin Timberlake,Music,Pop,true,"He is an American singer, songwriter, and actor who first gained prominence as a member of NSYNC. As a solo artist, he has won multiple Grammy and Emmy Awards and headlined stadium concert tours.",gemini-3.8-flash,2026-09-10T00:38:36.576Z
Lisa,Music,Pop,true,"She is a Thai rapper and singer based in South Korea who debuted with the girl group Blackpink. As a solo artist, she has won MTV Video Music Awards and founded the management company Lloud.",gemini-3.8-flash,2026-09-10T00:38:36.577Z
Charli XCX,Music,Pop,true,She is an English singer and songwriter who released studio albums including Brat and Crash. She has received Grammy Award nominations and won the Ivor Novello Award for songwriting.,gemini-3.8-flash,2026-09-10T00:38:36.579Z
Karol G,Music,Pop,true,She is a Colombian singer and songwriter working in Latin pop and reggaeton. She has won Grammy and Latin Grammy Awards and headlined worldwide stadium tours.,gemini-3.8-flash,2026-09-10T00:38:36.580Z
Rosé,Music,Pop,true,She is a New Zealand and South Korean singer who debuted as a member of Blackpink. She has released solo music including the single album R and the studio album Rosie.,gemini-3.8-flash,2026-09-10T00:38:36.582Z
Frank Ocean,Music,Pop,true,"He is an American singer, songwriter, and producer who was a member of the collective Odd Future. He has won Grammy Awards for his solo studio albums Channel Orange and Blonde.",gemini-3.8-flash,2026-09-10T00:38:36.584Z
Megan Thee Stallion,Music,Pop,true,"She is an American rapper and songwriter who works in hip hop and pop. She has won multiple Grammy Awards, including Best New Artist, and released studio albums including Good News and Megan.",gemini-3.8-flash,2026-09-10T00:38:36.585Z
Shawn Mendes,Music,Pop,true,"He is a Canadian singer and songwriter who has released studio albums including Handwritten and Wonder. He has received Grammy Award nominations, won American Music Awards, and headlined arena tours.",gemini-3.8-flash,2026-09-10T00:38:36.586Z
Tate McRae,Music,Pop,true,"She is a Canadian singer, songwriter, and dancer who competed on So You Think You Can Dance before signing a recording contract. She has released studio albums and won Juno Awards.",gemini-3.8-flash,2026-09-10T00:38:36.588Z
Benson Boone,Music,Pop,true,"He is an American singer, songwriter, and multi-instrumentalist who released the studio album Fireworks & Rollerblades. He won an MTV Video Music Award and has headlined concert tours.",gemini-3.8-flash,2026-09-10T00:38:36.589Z
Chris Martin,Music,Pop,true,He is an English musician and songwriter who is the lead vocalist and co-founder of the band Coldplay. He has won multiple Grammy Awards and headlined international stadium concert tours.,gemini-3.8-flash,2026-09-10T00:38:36.591Z
Teddy Swims,Music,Pop,true,He is an American singer and songwriter who released the studio album I've Tried Everything but Therapy (Part 1). He has headlined international concert tours and received MTV Video Music Award nominations.,gemini-3.8-flash,2026-09-10T00:38:36.593Z
Tyla,Music,Pop,true,She is a South African singer and songwriter working in pop and amapiano. She won the Grammy Award for Best African Music Performance and released her self-titled debut studio album.,gemini-3.8-flash,2026-09-10T00:38:36.594Z
Kacey Musgraves,Music,Pop,true,"She is an American singer and songwriter working in country and pop. She has won multiple Grammy Awards, including Album of the Year for Golden Hour, as well as Country Music Association Awards.",gemini-3.8-flash,2026-09-10T00:38:36.596Z
PinkPantheress,Music,Pop,true,"She is an English singer, songwriter, and producer who won the BBC Sound of 2022 poll. She released the studio album Heaven Knows and has received Brit Award nominations.",gemini-3.8-flash,2026-09-10T00:38:36.596Z
Lola Young,Music,Pop,true,"She is an English singer and songwriter who was nominated for the Brit Award for Rising Star. She has released studio albums, including This Wasn't Meant for You Anyway, and toured internationally.",gemini-3.8-flash,2026-09-10T00:38:36.597Z
Olivia Dean,Music,Pop,true,"She is an English singer and songwriter who released the studio album Messy. She has received nominations for the Mercury Prize and the Brit Awards, including British Artist of the Year.",gemini-3.8-flash,2026-09-10T00:38:36.598Z
Sombr,Music,Pop,true,"Sombr is an American indie pop singer, songwriter, and producer signed to Warner Records. He is known for releasing the EP In Another Life and singles including Caroline.",gemini-3.8-flash,2026-09-10T00:38:42.838Z
Gigi Perez,Music,Pop,true,Gigi Perez is an American pop singer-songwriter signed to Interscope Records. She gained recognition within the indie pop genre through singles such as Celeste and Sailor Song.,gemini-3.8-flash,2026-09-10T00:38:42.841Z
Ravyn Lenae,Music,Pop,true,Ravyn Lenae is an American pop and R&B singer-songwriter affiliated with the Zero Fatigue music collective and signed to Atlantic Records. Her catalog includes the studio albums Hypnos and Bird's Eye.,gemini-3.8-flash,2026-09-10T00:38:42.843Z
Myles Smith,Music,Pop,true,Myles Smith is an English singer-songwriter signed to RCA Records. He operates as an international touring act and is known for pop singles including Stargazing and Solo.,gemini-3.8-flash,2026-09-10T00:38:42.845Z
Role Model,Music,Pop,true,"Role Model is the stage name of Tucker Pillsbury, an American pop singer-songwriter signed to Interscope Records. He has released multiple major-label studio albums, including Rx and Kansas Anymore.",gemini-3.8-flash,2026-09-10T00:38:42.847Z
Dasha,Music,Pop,true,Dasha is an American pop and country-pop singer-songwriter signed to Warner Records. She gained international visibility with her single Austin and the studio album What Happens Now?.,gemini-3.8-flash,2026-09-10T00:38:42.850Z
Dr. Dre,Music,Producers,true,Dr. Dre is an American hip-hop producer and executive who founded Aftermath Entertainment and co-founded Death Row Records. He is a Grammy Award winner who produced seminal albums for artists such as Snoop Dogg and Eminem.,gemini-3.8-flash,2026-09-10T00:38:42.852Z
Pharrell Williams,Music,Producers,true,"Pharrell Williams is an American record producer, songwriter, and performer who co-founded the production duo The Neptunes. He is a Grammy Award winner and serves as the men's creative director for Louis Vuitton.",gemini-3.8-flash,2026-09-10T00:38:42.854Z
Diddy,Music,Producers,true,Diddy is an American music producer and executive who founded the record label Bad Boy Entertainment. He is a Grammy Award winner who produced catalog releases for artists including The Notorious B.I.G. and Mary J. Blige.,gemini-3.8-flash,2026-09-10T00:38:42.856Z
Metro Boomin,Music,Producers,true,"Metro Boomin is an American record producer who works with major hip-hop acts, including Future and 21 Savage. He is a Grammy Award nominee who produces chart-topping collaborative studio albums and major film soundtracks.",gemini-3.8-flash,2026-09-10T00:38:42.859Z
Timbaland,Music,Producers,true,"Timbaland is an American record producer and songwriter who co-created the webcast series Verzuz. He is a Grammy Award winner recognized for his production work with artists such as Aaliyah, Missy Elliott, and Justin Timberlake.",gemini-3.8-flash,2026-09-10T00:38:42.861Z
Rick Rubin,Music,Producers,true,"Rick Rubin is an American record producer who co-founded Def Jam Recordings and served as co-head of Columbia Records. He is a Grammy Award winner who has produced albums across hip-hop, rock, pop, and country.",gemini-3.8-flash,2026-09-10T00:38:42.863Z
DJ Premier,Music,Producers,true,"DJ Premier is an American hip-hop producer and DJ who comprised half of the duo Gang Starr alongside Guru. He has produced tracks for artists such as Nas, The Notorious B.I.G., and Jay-Z.",gemini-3.8-flash,2026-09-10T00:38:42.865Z
The Alchemist,Music,Producers,true,The Alchemist is an American hip-hop producer and DJ who served as the official DJ for Dilated Peoples and Eminem. He is a Grammy Award nominee recognized for producing collaborative albums with independent hip-hop artists.,gemini-3.8-flash,2026-09-10T00:38:42.866Z
Madlib,Music,Producers,true,"Madlib is an American hip-hop producer, DJ, and multi-instrumentalist. He works at the forefront of independent hip-hop and is known for collaborative albums such as Madvillainy with MF DOOM and Piñata with Freddie Gibbs.",gemini-3.8-flash,2026-09-10T00:38:42.867Z
Pi'erre Bourne,Music,Producers,true,"Pi'erre Bourne is an American record producer, audio engineer, and rapper. He is known for producing tracks for Playboi Carti and Lil Uzi Vert, as well as releasing his solo The Life of Pi'erre album series.",gemini-3.8-flash,2026-09-10T00:38:42.868Z
sza,Music,R&B,true,SZA is an American R&B singer and songwriter signed to Top Dawg Entertainment and RCA Records. She is a Grammy Award winner recognized for her studio albums Ctrl and SOS.,gemini-3.8-flash,2026-09-10T00:38:42.869Z
Chris Brown,Music,R&B,true,"Chris Brown is an American R&B singer, songwriter, and performer who headlines international arena tours. He is a Grammy Award winner with an extensive catalog of studio albums and Billboard Hot 100 entries.",gemini-3.8-flash,2026-09-10T00:38:42.870Z
